teamId,teamCity,teamName,teamAbbrev,seasonFounded,seasonActiveTill,league,Conference
1610612737,Tri-Cities,Blackhawks,TRI  ,1949,1951,NBA,West
1610612737,Milwaukee,Hawks,MLH  ,1951,1955,NBA,West
1610612737,St. Louis,Hawks,STL  ,1955,1968,NBA,West
1610612737,Atlanta,Hawks,ATL  ,1968,1970,NBA,West
1610612737,Atlanta,Hawks,ATL  ,1970,2100,NBA,East
1610612739,Cleveland,Cavaliers,CLE  ,1970,2100,NBA,East
1610612740,New Orleans,Hornets,NOH  ,2002,2004,NBA,East
1610612740,New Orleans,Hornets,NOH  ,2004,2005,NBA,West
1610612740,Oklahoma City,Hornets,NOK  ,2005,2007,NBA,West
1610612740,New Orleans,Hornets,NOH  ,2007,2008,NBA,West
1610612740,New Orleans,Hornets,NOH  ,2008,2013,NBA,West
1610612740,New Orleans,Pelicans,NOP  ,2013,2100,NBA,West
1610612741,Chicago,Bulls,CHI  ,1966,1980,NBA,West
1610612741,Chicago,Bulls,CHI  ,1980,2100,NBA,East
1610612742,Dallas,Mavericks,DAL  ,1980,2100,NBA,West
1610612743,Denver,Nuggets,DEN  ,1976,2100,NBA,West
1610612744,Philadelphia,Warriors,PHW  ,1949,1962,NBA,East
1610612744,San Francisco,Warriors,SF   ,1962,1971,NBA,West
1610612744,Golden State,Warriors,GSW  ,1971,2100,NBA,West
1610612745,San Diego,Rockets,SD   ,1967,1971,NBA,West
1610612745,Houston,Rockets,HOU  ,1971,1972,NBA,West
1610612745,Houston,Rockets,HOU  ,1972,1980,NBA,East
1610612745,Houston,Rockets,HOU  ,1980,2100,NBA,West
1610612746,Buffalo,Braves,BUF  ,1970,1978,NBA,East
1610612746,San Diego,Clippers,SDC  ,1978,1984,NBA,West
1610612746,Los Angeles,Clippers,LAC  ,1984,2100,NBA,West
1610612747,Minneapolis,Lakers,MNL  ,1949,1960,NBA,West
1610612747,Los Angeles,Lakers,LAL  ,1960,2100,NBA,West
1610612748,Miami,Heat,MIA  ,1988,1989,NBA,West
1610612748,Miami,Heat,MIA  ,1989,2100,NBA,East
1610612749,Milwaukee,Bucks,MIL  ,1968,1970,NBA,East
1610612749,Milwaukee,Bucks,MIL  ,1970,1980,NBA,West
1610612749,Milwaukee,Bucks,MIL  ,1980,2100,NBA,East
1610612750,Minnesota,Timberwolves,MIN  ,1989,2100,NBA,West
1610612751,New York,Nets,NYK  ,1976,1977,NBA,East
1610612751,New Jersey,Nets,NJ   ,1977,2012,NBA,East
1610612751,Brooklyn,Nets,BKN  ,2012,2100,NBA,East
1610612753,Orlando,Magic,ORL  ,1989,1990,NBA,East
1610612753,Orlando,Magic,ORL  ,1990,1991,NBA,West
1610612753,Orlando,Magic,ORL  ,1991,2100,NBA,East
1610612754,Indiana,Pacers,IND  ,1976,1979,NBA,West
1610612754,Indiana,Pacers,IND  ,1979,2100,NBA,East
1610612755,Syracuse,Nationals,SYR  ,1949,1963,NBA,East
1610612755,Philadelphia,76ers,PHI  ,1963,2100,NBA,East
1610612756,Phoenix,Suns,PHX  ,1968,2100,NBA,West
1610612757,Portland,Trail Blazers,POR  ,1970,2100,NBA,West
1610612758,Rochester,Royals,ROC  ,1949,1957,NBA,West
1610612758,Cincinnati,Royals,CIN  ,1957,1972,NBA,East
1610612758,Kansas City-Omaha,Kings,KCO  ,1972,1975,NBA,West
1610612758,Kansas City,Kings,KC   ,1975,1985,NBA,West
1610612758,Sacramento,Kings,SAC  ,1985,2100,NBA,West
1610612759,San Antonio,Spurs,SAN  ,1976,1980,NBA,East
1610612759,San Antonio,Spurs,SAN  ,1980,2100,NBA,West
1610612760,Seattle,SuperSonics,SEA  ,1967,2008,NBA,West
1610612760,Oklahoma City,Thunder,OKC  ,2008,2100,NBA,West
1610612761,Toronto,Raptors,TOR  ,1995,2100,NBA,East
1610612762,New Orleans,Jazz,NEO  ,1974,1979,NBA,East
1610612762,Utah,Jazz,UTA  ,1979,2100,NBA,West
1610612763,Vancouver,Grizzlies,VAN  ,1995,2001,NBA,West
1610612763,Memphis,Grizzlies,MEM  ,2001,2100,NBA,West
1610612764,Chicago,Packers,CHP  ,1961,1962,NBA,West
1610612764,Chicago,Zephyrs,CHZ  ,1962,1963,NBA,West
1610612764,Baltimore,Bullets,BAL  ,1963,1966,NBA,West
1610612764,Baltimore,Bullets,BAL  ,1966,1973,NBA,East
1610612764,Capital,Bullets,CAP  ,1973,1974,NBA,East
1610612764,Washington,Bullets,WAS  ,1974,1997,NBA,East
1610612764,Washington,Wizards,WAS  ,1997,2100,NBA,East
1610612765,Ft. Wayne,Pistons,FTW  ,1949,1957,NBA,West
1610612765,Detroit,Pistons,DET  ,1957,1967,NBA,West
1610612765,Detroit,Pistons,DET  ,1967,1970,NBA,East
1610612765,Detroit,Pistons,DET  ,1970,1978,NBA,West
1610612765,Detroit,Pistons,DET  ,1978,2100,NBA,East
1610612766,Charlotte,Hornets,CHA  ,1988,1989,NBA,East
1610612766,Charlotte,Hornets,CHA  ,1989,1990,NBA,West
1610612766,Charlotte,Hornets,CHA  ,1990,2002,NBA,East
1610612766,Charlotte,Bobcats,CHA  ,2004,2014,NBA,East
1610612766,Charlotte,Hornets,CHA  ,2014,2100,NBA,East
1610612738,Boston,Celtics,BOS  ,1949,2100,NBA,East
1610612752,New York,Knicks,NYK  ,1949,2100,NBA,East
