from,to,straight_line_distance,driving_distance
"Sacramento, California","Houston, Texas",1608.0,1929.0
"Sacramento, California","Kansas City, Missouri",1447.0,1716.0
"Sacramento, California","Dallas, Texas",1726.2,1726.2
"Sacramento, California","Denver, Colorado",1182.5,1164.0
"Sacramento, California","Seattle, Washington",752.0,753.0
"Sacramento, California","Buffalo, New York",0.0,2566.0
"Sacramento, California","New York, New York",2499.74,2815.77
"Sacramento, California","Philadelphia, Pennsylvania",2451.94,2785.0
"Sacramento, California","Chicago, Illinois",1816.0,2051.7
"Sacramento, California","Vancouver, British Columbia",1207.0,1436.6
"Sacramento, California","Minneapolis, Minnesota",1515.0,1888.0
"Sacramento, California","San Antonio, Texas",1489.0,1736.0
"Sacramento, California","Toronto, Ontario",2191.7,2552.0
"Sacramento, California","Oklahoma City, Oklahoma",0.0,1621.0
"Sacramento, California","Atlanta, Georgia",2119.0,2462.7
"Sacramento, California","Milwaukee, Wisconsin",0.0,2095.4
"Sacramento, California","San Diego, California",472.0,504.0
"Sacramento, California","San Francisco, California",75.0,87.0
"Sacramento, California","Cleveland, Ohio",2127.0,2381.7
"Sacramento, California","Brooklyn, New York",2499.74,2815.77
"Sacramento, California","Los Angeles, California",361.44,384.0
"Sacramento, California","Memphis, Tennessee",0.0,2086.0
"Sacramento, California","Boston, Massachusetts",3074.0,3037.4
"Sacramento, California","Phoenix, Arizona",634.25,755.0
"Sacramento, California","Orlando, Florida",2890.0,2833.9
"Sacramento, California","New Orleans, Louisiana",2054.0,2238.7
"Sacramento, California","Miami, Florida",2547.35,3114.0
"Sacramento, California","Charlotte, North Carolina",0.0,2675.0
"Sacramento, California","Indianapolis, Indiana",2185.0,2185.0
"Sacramento, California","Portland, Oregon",0.0,580.0
"Sacramento, California","Washington, District of Columbia",0.0,2733.0
"Sacramento, California","Detroit, Michigan",307.0,2307.0
"Sacramento, California","Salt Lake City, Utah",533.0,652.0
"Houston, Texas","Kansas City, Missouri",646.63,744.0
"Houston, Texas","Dallas, Texas",224.0,239.0
"Houston, Texas","Denver, Colorado",878.27,1031.0
"Houston, Texas","Seattle, Washington",2348.0,2328.9
"Houston, Texas","Buffalo, New York",0.0,1486.0
"Houston, Texas","New York, New York",1417.18,1624.1
"Houston, Texas","Philadelphia, Pennsylvania",1340.0,1547.0
"Houston, Texas","Chicago, Illinois",939.33,1080.43
"Houston, Texas","Vancouver, British Columbia",1981.14,2481.2
"Houston, Texas","Minneapolis, Minnesota",1197.0,1179.0
"Houston, Texas","San Antonio, Texas",189.52,211.3
"Houston, Texas","Toronto, Ontario",1301.6,1522.17
"Houston, Texas","Oklahoma City, Oklahoma",413.0,444.0
"Houston, Texas","Atlanta, Georgia",700.63,792.0
"Houston, Texas","Milwaukee, Wisconsin",1005.0,1171.0
"Houston, Texas","San Diego, California",1312.6,1468.0
"Houston, Texas","San Francisco, California",1642.57,1925.95
"Houston, Texas","Cleveland, Ohio",0.0,1275.3
"Houston, Texas","Brooklyn, New York",0.0,1636.0
"Houston, Texas","Los Angeles, California",1371.22,1546.1
"Houston, Texas","Memphis, Tennessee",0.0,567.0
"Houston, Texas","Boston, Massachusetts",1603.45,1819.5
"Houston, Texas","Phoenix, Arizona",1014.92,1183.74
"Houston, Texas","Orlando, Florida",850.0,963.0
"Houston, Texas","New Orleans, Louisiana",317.41,347.0
"Houston, Texas","Miami, Florida",966.61,1186.16
"Houston, Texas","Charlotte, North Carolina",1492.0,927.0
"Houston, Texas","Indianapolis, Indiana",865.0,1013.0
"Houston, Texas","Portland, Oregon",1835.0,2242.4
"Houston, Texas","Washington, District of Columbia",1219.0,1410.0
"Houston, Texas","Detroit, Michigan",1105.44,1329.3
"Houston, Texas","Salt Lake City, Utah",1199.21,1482.45
"Kansas City, Missouri","Dallas, Texas",453.0,507.0
"Kansas City, Missouri","Denver, Colorado",0.0,608.1
"Kansas City, Missouri","Seattle, Washington",1535.0,1842.8
"Kansas City, Missouri","Buffalo, New York",860.0,985.0
"Kansas City, Missouri","New York, New York",1096.0,1192.0
"Kansas City, Missouri","Philadelphia, Pennsylvania",1117.0,1125.0
"Kansas City, Missouri","Chicago, Illinois",410.57,510.0
"Kansas City, Missouri","Vancouver, British Columbia",1570.0,1976.0
"Kansas City, Missouri","Minneapolis, Minnesota",0.0,438.0
